kingdom,phylum,class,subclass,infraclass,subterclass,order,superfamily,family,genus,species,temporary ID
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Photoidea,Photidae,Photis,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Photoidea,Photidae,Photis,Photis brevipes,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Haustorioidea,Phoxocephalidae,NA,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Haustorioidea,Phoxocephalidae,NA,NA,NA
Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Aplysiida,Aplysioidea,Aplysiidae,Phyllaplysia,Phyllaplysia taylori,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Phyllodocidae,NA,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,Pinnotheroidea,Pinnotheridae,Pinnixa,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,Pinnotheroidea,Pinnotheridae,NA,NA,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Nereididae,Platynereis,Platynereis bicanaliculata,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,NA,NA,NA,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Caprelloidea,Podoceridae,Podocerus,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Caprelloidea,Podoceridae,Podocerus,Podocerus fulanus,NA
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,NA,Terebellida,NA,Terebellidae,Polycirrus,NA,NA
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,NA,Spionida,NA,Spionidae,Polydora,NA,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Polynoidae,NA,NA,NA
Fungi,NA,Pezizomycotina incertae sedis,NA,NA,NA,NA,NA,NA,Pontogeneia,NA,NA
Fungi,NA,Pezizomycotina incertae sedis,NA,NA,NA,NA,NA,NA,Pontogeneia,NA,NA
